Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
20001,B002C50X1M,AJKQOYD9ILG9Y,T. Ferek,0,0,5,1295049600,good chips,"This is a heavy kettle style chip that is not as ""heavy"" as kettle brand chips, but bas good flavor.  I will reorder."
20002,B002C50X1M,A2WV4N0X29CIFN,leecash2fly,0,0,5,1294099200,Great Chips,I recently bought these chips.  Came home and only three bags were left in the box.  My whole family loves them.  They have great flavor and better and healthier than more chips. I'm ordering a few more boxes today
20003,B002C50X1M,A32SQ3PVLO0UGQ,J. Gilbert,0,0,4,1293753600,Very good taste-twist chips,"These are not the ""same old"" chips by far and the Asian Sweet & Spicy sparked my imagination too, makes you appreciate the new and improved variety of potatoe chips. This flavor is easily an ""8"" on the ten-scale."
20004,B002C50X1M,A1WRBCQDIH209I,angiechildress,0,0,5,1286064000,chips,"I love Rosemary chips, but can't find any at my location. I was glad I came across these, at such a great price."
20005,B002C50X1M,A2ICY2Y1JNCXAM,"M&M ""MyTrueComment""",0,0,5,1280880000,Great Tasting Potato CHIPS.,The potato chips are wonderfully tasty.  My sons and I both like the Rosemary and Olive Oil because it is not as spicy.  We also got the Jalapeno.  It is not so much I don't like the Jalapeno.  It is spicy hot for me.  I still love the potato chips.
20006,B002C50X1M,ADYHYJQFKM70N,mags,0,0,5,1280793600,Best Jalapeno chips,Being what you would call a chip connoisseur was looking forward to trying these.  Great chips.
20007,B002C50X1M,A28CUV51TCMFVQ,Karen Frances,0,0,5,1274918400,just the right size package; great chips,Very nice chips; just the right size to serve with a sandwich and watch my calories.
20008,B002C50X1M,A2KQXXE40J4TKV,"C. Wu ""awu4u""",0,0,4,1273536000,Flavorful but Salty,"My order was carried out in a fast and effective manner. I received my shipment of chips within two days and had no problems with the retailer.<br /><br />The chips (Sweet Onion variety) are flavorful and particularly crunchy. The only negative--a subjective one--is that the chips may be too salty. Other than that, I would recommend buying these chips again."
20009,B002C50X1M,AGS1GGTC4ZK4V,Orton Redux,0,0,5,1260489600,Superior chips - wow!,"This is a re-post of the review I left for the 5 oz bags ... Addictive and totally unexpected. I first tasted these at the Fancy Food Show in New York a couple of years ago. Was amazed to find them on Amazon - and bought immediately for our lunch clients. What you want in a potato chip: the crunch is fantastic and the flavor gives off both rosemary and olive oil, ending in a surprisingly smoky note."
20010,B002C50X1M,AVC789PXME9TG,MG,5,8,1,1335830400,According to the Manufacturer's own website these have no Olive Oil!!!!,"Ingredients on Deep River Snacks's website are: Potatoes, sunflower oil and/or corn oil, whey, sea salt, onion powder, sugar, garlic powder, torula yeast, dried parsley, maltodextrix, canola oil, soybean oil, rosemary extract and ""natural flavors"".<br /><br />False adversing much?"
20011,B002C50X1M,A2TFHMXBU9HG3P,P. Myers,1,2,1,1325980800,too much of a good thing,"These chips are very spicy to say the least, my tongue burned too much to finish the small individual serving bag. They have an overpowering amount of some Asian spice, perhaps ginger, but it is way too strong and you are left with a very unpleasant taste. I bought 24 of the small size bags but could not bring myself to like the flavor, it all ended up in the trash.  This is definitely a chip that will appeal to only certain palates. I do like the sweet onion flavor of this brand but this Asian flavor was too much of a good thing!"
20012,B002C50X1M,A2JO9MU465LFBE,ruth,1,2,5,1310342400,Yum!,"I loved kettle chips from the moment I tried them but I felt absolutely disgusting every time I had the Kettle Brand. Though very tasty and crunchy, they were also very oily. With Deep River Snacks, they've got the crunch and taste without that repulsive burst of oil in your mouth with each crunch that Kettle Brand had. I LOVE the Sweet Onion Maui and Mesquite BBQ. The Jalapeno flavor does spicy justice and the Rosemary & olive Oil is very unique for a chip. I wish they had a sour cream and onion flavor but I love them regardless."
